Transaction_ID,Date,Hour,Is_Weekend,Outlet_Code,Outlet_Name,City,Region,Product_ID,Product_Name,Category,ABC_Classification,Unit_Price_INR,Unit_Cost_INR,Quantity,Gross_Revenue_INR,Discount_Pct,Discount_Override_Code,Net_Revenue_INR,Gross_Profit_INR,Margin_Pct,Payment_Method,Customer_Rating,Customer_Segment,Store_Footfall_Day
TXN-IN-10001,2026-08-29,13,1,BLR-017,Bengaluru – JP Nagar (Outlet 17),Bengaluru,South,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,2,480,25.0,OVERRIDE_MGR_01,360.0,230.0,63.89,UPI (GooglePay/PhonePe),2,Champion,1945
TXN-IN-10002,2026-07-22,17,0,BLR-001,Bengaluru – Indiranagar 100ft,Bengaluru,South,SKU-BEV-002,Monsoon Cinnamon Latte,Specialty Beverages,A,280,80,1,280,5.0,CAMPAIGN_CODE_PROMO,266.0,186.0,69.92,Cash,5,Loyal Customer,1141
TXN-IN-10003,2026-07-20,12,0,BLR-002,Bengaluru – Koramangala 5th Block,Bengaluru,South,SKU-DES-007,Classic Tiramisu Cup,Desserts,B,260,85,1,260,0.0,NONE,260.0,175.0,67.31,Credit Card,5,Loyal Customer,1291
TXN-IN-10004,2026-08-11,17,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,2,480,0.0,NONE,480.0,350.0,72.92,Debit Card,5,Loyal Customer,1060
TXN-IN-10005,2026-08-28,9,0,DEL-001,Delhi – Connaught Place Inner Circle,Delhi,North,SKU-BAKE-004,Butter Flaky Croissant,Artisanal Bakery,B,180,55,2,360,0.0,NONE,360.0,250.0,69.44,Credit Card,1,At Risk,1445
TXN-IN-10006,2026-08-13,14,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,2,1900,0.0,NONE,1900.0,660.0,34.74,UPI (GooglePay/PhonePe),4,Potential Loyalist,1074
TXN-IN-10007,2026-08-30,13,1,BLR-017,Bengaluru – JP Nagar (Outlet 17),Bengaluru,South,SKU-BEV-003,Nitro Cold Brew Infusion,Specialty Beverages,A,310,90,1,310,0.0,NONE,310.0,220.0,70.97,Cash,5,Loyal Customer,2033
TXN-IN-10008,2026-07-23,15,0,MUM-001,Mumbai – Bandra West Linking Rd,Mumbai,West,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,2,480,15.0,CAMPAIGN_CODE_PROMO,408.0,278.0,68.14,Credit Card,5,Loyal Customer,1734
TXN-IN-10009,2026-08-18,19,0,BLR-002,Bengaluru – Koramangala 5th Block,Bengaluru,South,SKU-SNK-005,Truffle Cheese Mushroom Panini,Gourmet Food,A,340,120,1,340,0.0,NONE,340.0,220.0,64.71,Cash,5,Loyal Customer,1292
TXN-IN-10010,2026-08-03,9,0,BLR-002,Bengaluru – Koramangala 5th Block,Bengaluru,South,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,1,950,15.0,CAMPAIGN_CODE_PROMO,807.5,187.5,23.22,UPI (GooglePay/PhonePe),4,Loyal Customer,1216
TXN-IN-10011,2026-08-13,21,0,DEL-002,Delhi – Cyber Hub Gurugram,Delhi NCR,North,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,1,950,0.0,NONE,950.0,330.0,34.74,UPI (GooglePay/PhonePe),4,Champion,1157
TXN-IN-10012,2026-08-06,12,0,DEL-001,Delhi – Connaught Place Inner Circle,Delhi,North,SKU-BEV-002,Monsoon Cinnamon Latte,Specialty Beverages,A,280,80,1,280,15.0,CAMPAIGN_CODE_PROMO,238.0,158.0,66.39,Credit Card,1,Potential Loyalist,1549
TXN-IN-10013,2026-07-26,19,1,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-BAKE-004,Butter Flaky Croissant,Artisanal Bakery,B,180,55,1,180,0.0,NONE,180.0,125.0,69.44,Cash,3,Loyal Customer,1368
TXN-IN-10014,2026-07-21,20,0,BLR-017,Bengaluru – JP Nagar (Outlet 17),Bengaluru,South,SKU-SNK-006,Smoked Paneer Tikka Sourdough,Gourmet Food,B,310,105,3,930,25.0,OVERRIDE_MGR_01,697.5,382.5,54.84,UPI (GooglePay/PhonePe),3,Champion,1527
TXN-IN-10015,2026-08-20,16,0,BLR-017,Bengaluru – JP Nagar (Outlet 17),Bengaluru,South,SKU-BEV-003,Nitro Cold Brew Infusion,Specialty Beverages,A,310,90,1,310,0.0,NONE,310.0,220.0,70.97,Cash,5,Champion,1478
TXN-IN-10016,2026-09-02,18,0,MUM-001,Mumbai – Bandra West Linking Rd,Mumbai,West,SKU-SNK-005,Truffle Cheese Mushroom Panini,Gourmet Food,A,340,120,1,340,0.0,NONE,340.0,220.0,64.71,Cash,5,Champion,1586
TXN-IN-10017,2026-08-10,8,0,BLR-001,Bengaluru – Indiranagar 100ft,Bengaluru,South,SKU-BAKE-004,Butter Flaky Croissant,Artisanal Bakery,B,180,55,2,360,0.0,NONE,360.0,250.0,69.44,UPI (GooglePay/PhonePe),5,At Risk,1154
TXN-IN-10018,2026-07-24,16,0,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-BAKE-004,Butter Flaky Croissant,Artisanal Bakery,B,180,55,1,180,0.0,NONE,180.0,125.0,69.44,Cash,5,Champion,961
TXN-IN-10019,2026-08-15,15,1,MUM-001,Mumbai – Bandra West Linking Rd,Mumbai,West,SKU-BEV-002,Monsoon Cinnamon Latte,Specialty Beverages,A,280,80,1,280,0.0,NONE,280.0,200.0,71.43,Debit Card,3,Champion,2314
TXN-IN-10020,2026-08-30,14,1,BLR-017,Bengaluru – JP Nagar (Outlet 17),Bengaluru,South,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,1,240,0.0,NONE,240.0,175.0,72.92,UPI (GooglePay/PhonePe),5,Champion,1883
TXN-IN-10021,2026-08-06,10,0,HYD-001,Hyderabad – Hitec City Cyber Towers,Hyderabad,South,SKU-BAKE-004,Butter Flaky Croissant,Artisanal Bakery,B,180,55,3,540,0.0,NONE,540.0,375.0,69.44,Cash,5,Potential Loyalist,1448
TXN-IN-10022,2026-07-20,16,0,BLR-017,Bengaluru – JP Nagar (Outlet 17),Bengaluru,South,SKU-BAKE-004,Butter Flaky Croissant,Artisanal Bakery,B,180,55,1,180,25.0,OVERRIDE_MGR_01,135.0,80.0,59.26,Debit Card,5,Champion,1439
TXN-IN-10023,2026-08-05,21,0,HYD-001,Hyderabad – Hitec City Cyber Towers,Hyderabad,South,SKU-SNK-005,Truffle Cheese Mushroom Panini,Gourmet Food,A,340,120,1,340,0.0,NONE,340.0,220.0,64.71,Cash,4,Loyal Customer,1358
TXN-IN-10024,2026-08-07,17,0,MUM-001,Mumbai – Bandra West Linking Rd,Mumbai,West,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,2,480,0.0,NONE,480.0,350.0,72.92,UPI (GooglePay/PhonePe),5,Loyal Customer,1705
TXN-IN-10025,2026-07-30,10,0,BLR-001,Bengaluru – Indiranagar 100ft,Bengaluru,South,SKU-BEV-002,Monsoon Cinnamon Latte,Specialty Beverages,A,280,80,3,840,5.0,CAMPAIGN_CODE_PROMO,798.0,558.0,69.92,Debit Card,5,At Risk,1133
TXN-IN-10026,2026-08-26,18,0,BLR-001,Bengaluru – Indiranagar 100ft,Bengaluru,South,SKU-BEV-002,Monsoon Cinnamon Latte,Specialty Beverages,A,280,80,1,280,0.0,NONE,280.0,200.0,71.43,Credit Card,5,Potential Loyalist,1131
TXN-IN-10027,2026-08-05,13,0,DEL-002,Delhi – Cyber Hub Gurugram,Delhi NCR,North,SKU-BEV-003,Nitro Cold Brew Infusion,Specialty Beverages,A,310,90,2,620,0.0,NONE,620.0,440.0,70.97,UPI (GooglePay/PhonePe),5,Potential Loyalist,1164
TXN-IN-10028,2026-07-26,11,1,BLR-017,Bengaluru – JP Nagar (Outlet 17),Bengaluru,South,SKU-BAKE-004,Butter Flaky Croissant,Artisanal Bakery,B,180,55,1,180,25.0,OVERRIDE_MGR_01,135.0,80.0,59.26,UPI (GooglePay/PhonePe),4,Champion,1976
TXN-IN-10029,2026-09-03,17,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,2,480,0.0,NONE,480.0,350.0,72.92,UPI (GooglePay/PhonePe),2,Champion,929
