Review_ID,Outlet_Code,Review_Text,Rating,Source,Date
REV-1000,BLR-001,Amazing cold brew and fantastic ambiance in Indiranagar! The staff is very polite and fast.,5,Swiggy Dineout,2026-07-31
REV-1001,CHN-001,"Prompt service, clean counter, hygienic preparation observed.",5,Customer App,2026-08-17
REV-1002,HYD-001,"Bandra branch has great music and vibe, but seating is crowded during peak Sunday evenings.",4,Swiggy Dineout,2026-08-06
REV-1003,DEL-001,Best truffle panini in Connaught Place. Fast service and clean tables.,5,Google Reviews,2026-07-24
REV-1004,DEL-002,Sanitation in the washroom was sub-par today. Coffee was good though.,3,Swiggy Dineout,2026-07-27
REV-1005,BLR-001,Best truffle panini in Connaught Place. Fast service and clean tables.,5,Google Reviews,2026-08-08
REV-1006,BLR-001,Best truffle panini in Connaught Place. Fast service and clean tables.,5,Google Reviews,2026-08-08
REV-1007,MUM-001,"Bandra branch has great music and vibe, but seating is crowded during peak Sunday evenings.",4,Google Reviews,2026-07-28
REV-1008,MUM-002,Super quick takeaway at Hitec City. Great UPI scan and go experience.,5,Zomato,2026-08-03
REV-1009,HYD-001,Super quick takeaway at Hitec City. Great UPI scan and go experience.,5,Google Reviews,2026-07-27
REV-1010,MUM-001,Extremely disappointed. Outlet 17 opened 45 minutes late and cold brew was completely out of stock!,1,Google Reviews,2026-08-06
REV-1011,BLR-017,Extremely disappointed. Outlet 17 opened 45 minutes late and cold brew was completely out of stock!,1,Customer App,2026-08-05
REV-1012,BLR-017,Extremely disappointed. Outlet 17 opened 45 minutes late and cold brew was completely out of stock!,1,Customer App,2026-07-31
REV-1013,BLR-017,Best truffle panini in Connaught Place. Fast service and clean tables.,5,Swiggy Dineout,2026-08-20
REV-1014,MUM-001,"Bandra branch has great music and vibe, but seating is crowded during peak Sunday evenings.",4,Swiggy Dineout,2026-08-11
REV-1015,DEL-001,"Cashier applied manual discount without asking, but waiting time was almost 25 minutes. Needs more staff.",2,Swiggy Dineout,2026-08-29
REV-1016,BLR-001,Sanitation in the washroom was sub-par today. Coffee was good though.,3,Google Reviews,2026-08-26
REV-1017,MUM-001,"Bandra branch has great music and vibe, but seating is crowded during peak Sunday evenings.",4,Customer App,2026-08-31
REV-1018,DEL-001,"Cashier applied manual discount without asking, but waiting time was almost 25 minutes. Needs more staff.",2,Swiggy Dineout,2026-09-01
